Date,Gold,USD_Index,EUR_USD,SP_500,Oil,Bitcoin,Vix,CPI,Unemployment_Rate,GPD,US_Interest_Rate,Zinsen,Gold_ETFs,M2_Euro,M2_US,GPRD,DOW,MOY,Stunde_des_Tages,Jahr,Volles_Datum
2018-08-28,1207.4000244140625,94.72000122070312,1.1683608293533325,2897.52001953125,68.52999877929688,7096.27978515625,12.5,252.40119354838708,3.7129032258064516,20873.83810869565,1.9448387096774193,1.9448387096774193,11.46,10876141000000.0,14224.732258064516,134.43862915039062,1,8,0,2018,2018-08-28
2018-08-29,1204.5,94.5999984741211,1.1691256761550903,2914.0400390625,69.51000213623047,7047.16015625,12.25,252.41064516129032,3.709677419354839,20875.133076086957,1.9461290322580644,1.9461290322580644,11.25,10876141000000.0,14225.874193548387,139.90408325195312,2,8,0,2018,2018-08-29
2018-08-30,1197.699951171875,94.72000122070312,1.1709738969802856,2901.1298828125,70.25,6978.22998046875,13.529999732971191,252.42009677419355,3.706451612903226,20876.42804347826,1.9474193548387095,1.9474193548387095,11.41,10876141000000.0,14227.016129032258,86.16505432128906,3,8,0,2018,2018-08-30
2018-08-31,1200.300048828125,95.13999938964844,1.1664663553237915,2901.52001953125,69.80000305175781,7037.580078125,12.859999656677246,252.42954838709676,3.7032258064516133,20877.723010869566,1.9487096774193549,1.9487096774193549,10.96,10876141000000.0,14228.158064516128,62.03310012817383,4,8,0,2018,2018-08-31
2018-09-01,1200.300048828125,95.13999938964844,1.1664663553237915,2901.52001953125,69.80000305175781,7193.25,12.859999656677246,252.439,3.7,20879.01797826087,1.95,1.95,11.075000000000001,10876141000000.0,14229.3,80.2463150024414,5,9,0,2018,2018-09-01
2018-09-02,1200.300048828125,95.13999938964844,1.1664663553237915,2901.52001953125,69.80000305175781,7272.72021484375,12.859999656677246,252.45386666666667,3.7033333333333336,20880.31294565217,1.958,1.958,11.190000000000001,10876141000000.0,14229.703333333333,49.1270637512207,6,9,0,2018,2018-09-02
2018-09-03,1200.300048828125,95.13999938964844,1.1601063013076782,2901.52001953125,69.80000305175781,7260.06005859375,12.859999656677246,252.46873333333332,3.706666666666667,20881.607913043477,1.966,1.966,11.305,10876141000000.0,14230.106666666667,94.16999053955078,0,9,0,2018,2018-09-03
2018-09-04,1192.699951171875,95.41999816894531,1.161548137664795,2896.719970703125,69.87000274658203,7361.66015625,13.15999984741211,252.4836,3.71,20882.90288043478,1.974,1.974,11.42,10876141000000.0,14230.509999999998,14.36084270477295,1,9,0,2018,2018-09-04
2018-09-05,1194.9000244140625,95.12999725341797,1.1586545705795288,2888.60009765625,68.72000122070312,6792.830078125,13.90999984741211,252.49846666666667,3.7133333333333334,20884.197847826086,1.982,1.982,11.24,10876141000000.0,14230.913333333332,85.92912292480469,2,9,0,2018,2018-09-05
2018-09-06,1197.9000244140625,95.0199966430664,1.1635212898254395,2878.050048828125,67.7699966430664,6529.169921875,14.649999618530273,252.51333333333332,3.716666666666667,20885.49281521739,1.99,1.99,11.54,10876141000000.0,14231.316666666666,97.68965911865234,3,9,0,2018,2018-09-06
2018-09-07,1193.5999755859375,95.37000274658203,1.1620069742202759,2871.679931640625,67.75,6467.06982421875,14.880000114440918,252.5282,3.72,20886.787782608695,1.998,1.998,11.3,10876141000000.0,14231.72,87.86651611328125,4,9,0,2018,2018-09-07
2018-09-08,1193.5999755859375,95.37000274658203,1.1620069742202759,2871.679931640625,67.75,6225.97998046875,14.880000114440918,252.54306666666665,3.7233333333333336,20888.082749999998,2.006,2.006,11.31,10876141000000.0,14232.123333333333,59.63218307495117,5,9,0,2018,2018-09-08
2018-09-09,1193.5999755859375,95.37000274658203,1.1620069742202759,2871.679931640625,67.75,6300.85986328125,14.880000114440918,252.55793333333332,3.7266666666666666,20889.377717391304,2.014,2.014,11.32,10876141000000.0,14232.526666666667,47.51633834838867,6,9,0,2018,2018-09-09
2018-09-10,1193.0,95.1500015258789,1.1561094522476196,2877.1298828125,67.54000091552734,6329.7001953125,14.15999984741211,252.5728,3.73,20890.672684782607,2.022,2.022,11.33,10876141000000.0,14232.93,55.42262268066406,0,9,0,2018,2018-09-10
2018-09-11,1195.4000244140625,95.05999755859375,1.159595012664795,2887.889892578125,69.25,6321.2001953125,13.220000267028809,252.58766666666665,3.7333333333333334,20891.967652173913,2.03,2.03,11.26,10876141000000.0,14233.333333333332,81.84497833251953,1,9,0,2018,2018-09-11
2018-09-12,1204.699951171875,94.80000305175781,1.1596084833145142,2888.919921875,70.37000274658203,6351.7998046875,13.140000343322754,252.60253333333333,3.736666666666667,20893.262619565216,2.038,2.038,11.18,10876141000000.0,14233.736666666666,80.89298248291016,2,9,0,2018,2018-09-12
2018-09-13,1202.0,94.54000091552734,1.1629259586334229,2904.179931640625,68.58999633789062,6517.31005859375,12.369999885559082,252.6174,3.74,20894.557586956522,2.046,2.046,11.15,10876141000000.0,14234.14,68.56543731689453,3,9,0,2018,2018-09-13
2018-09-14,1195.0,94.9800033569336,1.1691803932189941,2904.97998046875,68.98999786376953,6512.7099609375,12.069999694824219,252.63226666666665,3.743333333333333,20895.852554347824,2.054,2.054,10.84,10876141000000.0,14234.543333333333,118.30599212646484,4,9,0,2018,2018-09-14
2018-09-15,1195.0,94.9800033569336,1.1691803932189941,2904.97998046875,68.98999786376953,6543.2001953125,12.069999694824219,252.64713333333333,3.7466666666666666,20897.14752173913,2.062,2.062,10.843333333333334,10876141000000.0,14234.946666666667,63.412872314453125,5,9,0,2018,2018-09-15
2018-09-16,1195.0,94.9800033569336,1.1691803932189941,2904.97998046875,68.98999786376953,6517.18017578125,12.069999694824219,252.66199999999998,3.75,20898.442489130433,2.07,2.07,10.846666666666666,10876141000000.0,14235.349999999999,7.232680797576904,6,9,0,2018,2018-09-16
2018-09-17,1199.699951171875,94.51000213623047,1.1628988981246948,2888.800048828125,68.91000366210938,6281.2001953125,13.680000305175781,252.67686666666665,3.7533333333333334,20899.737456521736,2.078,2.078,10.85,10876141000000.0,14235.753333333332,91.08362579345703,0,9,0,2018,2018-09-17
2018-09-18,1196.800048828125,94.62000274658203,1.1669156551361084,2904.31005859375,69.8499984741211,6371.2998046875,12.789999961853027,252.69173333333333,3.756666666666667,20901.032423913042,2.086,2.086,10.78,10876141000000.0,14236.156666666666,105.00934600830078,1,9,0,2018,2018-09-18
2018-09-19,1202.199951171875,94.55000305175781,1.167992353439331,2907.949951171875,71.12000274658203,6398.5400390625,11.75,252.70659999999998,3.76,20902.327391304345,2.094,2.094,10.81,10876141000000.0,14236.56,58.6295166015625,2,9,0,2018,2018-09-19
2018-09-20,1206.199951171875,93.91000366210938,1.167460560798645,2930.75,70.80000305175781,6519.669921875,11.800000190734863,252.72146666666666,3.763333333333333,20903.62235869565,2.102,2.102,10.72,10876141000000.0,14236.963333333333,107.92826843261719,3,9,0,2018,2018-09-20
2018-09-21,1196.199951171875,94.22000122070312,1.1775927543640137,2929.669921875,70.77999877929688,6734.9501953125,11.680000305175781,252.73633333333333,3.7666666666666666,20904.917326086954,2.11,2.11,10.76,10876141000000.0,14237.366666666667,113.79048919677734,4,9,0,2018,2018-09-21
